dataset,run,seed,num_classes,train_samples,test_samples,d1_accuracy,d1_precision_macro,d1_recall_macro,d1_f1_macro,d1_precision_weighted,d1_recall_weighted,d1_f1_weighted,d2_accuracy,d2_precision_macro,d2_recall_macro,d2_f1_macro,d2_precision_weighted,d2_recall_weighted,d2_f1_weighted,d2_best_epoch,fusion_accuracy,fusion_precision_macro,fusion_recall_macro,fusion_f1_macro,fusion_precision_weighted,fusion_recall_weighted,fusion_f1_weighted,bsif_feature_build_time_sec,bsif_filter_build_time_sec,d1_train_time_sec,d1_inference_time_sec,d2_train_time_sec,d2_inference_time_sec,total_run_time_sec,status
PolyU,1,11,386,6201,1551,0.9896840747904577,0.9920120898100172,0.9893782383419688,0.98908515203852,0.9919406834300452,0.9896840747904577,0.9892728054236758,0.9922630560928434,0.9939550949913644,0.9917098445595856,0.9917509663623654,0.9939823769611003,0.9922630560928434,0.9921463878910688,13,0.9987105093488072,0.9990500863557858,0.9981865284974094,0.9983252211231486,0.9989469159681925,0.9987105093488072,0.9986323584002501,0.0,0.011236700000154087,0.016765299999860872,2.386115299999801,624.2307602000001,14.351543100000072,627.8550870999998,ok
PolyU,2,22,386,6201,1551,0.9941972920696325,0.9953367875647668,0.9941709844559585,0.9940784603997039,0.995357833655706,0.9941972920696325,0.9941051855945473,0.9993552546744036,0.9994818652849741,0.9993523316062176,0.9993420511555227,0.999484203739523,0.9993552546744036,0.9993450206216163,14,0.9993552546744036,0.9994818652849741,0.9993523316062176,0.9993420511555227,0.999484203739523,0.9993552546744036,0.9993450206216163,0.0,0.011236700000154087,0.011628399999608519,1.0354275999998208,619.8822860999999,14.114957900000263,621.2196976999994,ok
PolyU,3,33,386,6201,1551,0.9916183107672469,0.9932642487046631,0.9909326424870466,0.990829837980097,0.9932946486137975,0.9916183107672469,0.9913010551308423,0.9909735654416505,0.9930915371329878,0.9902849740932642,0.9902870301834032,0.9931227165269718,0.9909735654416505,0.9907606971436759,14,0.9980657640232108,0.9984455958549222,0.9974093264248705,0.9975326918332099,0.9984526112185687,0.9980657640232108,0.9979736575481256,0.0,0.011236700000154087,0.012982700000065961,1.2629529000005277,620.9514713999997,14.135477400000127,622.5159998999998,ok
PolyU,4,44,386,6201,1551,0.996776273372018,0.9974093264248705,0.9961139896373057,0.9962167941442552,0.9974210186976145,0.996776273372018,0.9966636987913583,0.9961315280464217,0.9968911917098444,0.9954663212435233,0.9955588452997779,0.9969052224371372,0.9961315280464217,0.9960087194129748,13,0.9993552546744036,0.9994818652849741,0.9987046632124352,0.9988485895221646,0.999484203739523,0.9993552546744036,0.9992836163048929,0.0,0.011236700000154087,0.009710399999676156,1.2199420000006285,619.8941367999996,14.115104399999836,621.3572849000002,ok
PolyU,5,55,386,6201,1551,0.9935525467440361,0.9949050086355785,0.9935233160621761,0.9933494829867886,0.9948205458843757,0.9935525467440361,0.9933208850036702,0.9961315280464217,0.9968911917098444,0.9961139896373057,0.996052306933136,0.9969052224371372,0.9961315280464217,0.9960701237296982,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011236700000154087,0.008845600000313425,1.4641751999997723,620.9441791999998,14.187998399999742,622.6687716999995,ok
PolyU,avg,,386,6201.0,1551.0,0.993166,0.994585,0.992824,0.992712,0.994567,0.993166,0.992933,0.994971,0.996062,0.994585,0.994598,0.99608,0.994971,0.994866,13.8,0.999097,0.999292,0.998731,0.99881,0.999274,0.999097,0.999047,0.0,0.011237,0.011986,1.473723,621.180567,14.181016,623.123368,avg
FYO,1,11,160,5632,1408,0.7024147727272727,0.7662985671395598,0.7024305555555556,0.7077052464851017,0.7660975805031829,0.7024147727272727,0.7075237111679935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01893449999988661,0.00789100000019971,1.0922687000002043,608.0904287000003,14.28135469999961,609.4464748,ok
FYO,2,22,160,5632,1408,0.6853693181818182,0.75512470150627,0.685763888888889,0.6918520777671257,0.7545451997016258,0.6853693181818182,0.6914654755187999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01893449999988661,0.008258500000010827,1.0535294999999678,607.1954277000004,14.3215995999999,608.5045246,ok
FYO,3,33,160,5632,1408,0.6903409090909091,0.7603005384117516,0.6911458333333333,0.6980961642813635,0.760170474845546,0.6903409090909091,0.6975056189379468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01893449999988661,0.008528000000296743,1.1718720999997458,607.380674,14.291568999999981,608.7993417000007,ok
FYO,4,44,160,5632,1408,0.6896306818181818,0.7611669702846173,0.6894965277777778,0.6985963272677386,0.7620714968381663,0.6896306818181818,0.6992515146849295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01893449999988661,0.008285899999464164,0.9922791999997571,607.9329894999992,14.273189599998659,609.1808953999989,ok
FYO,5,55,160,5632,1408,0.7045454545454546,0.7791010228143416,0.7047743055555555,0.7103885130607267,0.7787966878809208,0.7045454545454546,0.7101896434498834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01893449999988661,0.008513299999322044,1.1959730000016862,607.8005747999996,14.329464599999483,609.2324748999999,ok
FYO,avg,,160,5632.0,1408.0,0.69446,0.764398,0.694722,0.701328,0.764336,0.69446,0.701187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.018934,0.008295,1.101185,607.680019,14.299435,609.032742,avg
